"Plot Title:  16_12_2020"
"#","Date Time, GMT+00:00","Temp, °F (LGR S/N: 10570397, SEN S/N: 10570397)","RH, % (LGR S/N: 10570397, SEN S/N: 10570397)","Coupler Detached (LGR S/N: 10570397)","Coupler Attached (LGR S/N: 10570397)","Host Connected (LGR S/N: 10570397)","Stopped (LGR S/N: 10570397)","End Of File (LGR S/N: 10570397)"
166,12/16/20 07:01:41 pm,71.704,53.528,,,,,
167,12/16/20 07:01:42 pm,71.704,53.528,,,,,
168,12/16/20 07:01:43 pm,71.661,53.556,,,,,
169,12/16/20 07:01:44 pm,71.661,53.556,,,,,
170,12/16/20 07:01:45 pm,71.620,53.584,,,,,
171,12/16/20 07:01:46 pm,71.620,53.615,,,,,
172,12/16/20 07:01:47 pm,71.577,53.643,,,,,
173,12/16/20 07:01:48 pm,71.577,53.674,,,,,
174,12/16/20 07:01:49 pm,71.533,53.671,,,,,
175,12/16/20 07:01:50 pm,71.533,53.702,,,,,
176,12/16/20 07:01:51 pm,71.490,53.730,,,,,
177,12/16/20 07:01:52 pm,71.490,53.730,,,,,
178,12/16/20 07:01:53 pm,71.447,53.758,,,,,
179,12/16/20 07:01:54 pm,71.447,53.789,,,,,
180,12/16/20 07:01:55 pm,71.404,53.848,,,,,
181,12/16/20 07:01:56 pm,71.404,53.848,,,,,
182,12/16/20 07:01:57 pm,71.361,53.875,,,,,
183,12/16/20 07:01:58 pm,71.317,53.903,,,,,
184,12/16/20 07:01:59 pm,71.317,53.934,,,,,
185,12/16/20 07:02:00 pm,71.274,53.962,,,,,
186,12/16/20 07:02:01 pm,71.274,53.993,,,,,
187,12/16/20 07:02:02 pm,71.231,54.021,,,,,
188,12/16/20 07:02:03 pm,71.231,54.083,,,,,
189,12/16/20 07:02:04 pm,71.190,54.111,,,,,
190,12/16/20 07:02:05 pm,71.146,54.108,,,,,
191,12/16/20 07:02:06 pm,71.146,54.139,,,,,
192,12/16/20 07:02:07 pm,71.146,54.201,,,,,
193,12/16/20 07:02:08 pm,71.103,54.198,,,,,
194,12/16/20 07:02:09 pm,71.060,54.256,,,,,
195,12/16/20 07:02:10 pm,71.060,54.288,,,,,
196,12/16/20 07:02:11 pm,71.017,54.315,,,,,
197,12/16/20 07:02:12 pm,71.017,54.346,,,,,
198,12/16/20 07:02:13 pm,70.974,54.374,,,,,
199,12/16/20 07:02:14 pm,70.974,54.405,,,,,
200,12/16/20 07:02:15 pm,70.974,54.436,,,,,
201,12/16/20 07:02:16 pm,70.930,54.495,,,,,
202,12/16/20 07:02:17 pm,70.887,54.491,,,,,
203,12/16/20 07:02:18 pm,70.887,54.523,,,,,
204,12/16/20 07:02:19 pm,70.887,54.554,,,,,
205,12/16/20 07:02:20 pm,70.846,54.581,,,,,
206,12/16/20 07:02:21 pm,70.846,54.612,,,,,
207,12/16/20 07:02:22 pm,70.803,54.671,,,,,
208,12/16/20 07:02:23 pm,70.803,54.671,,,,,
209,12/16/20 07:02:24 pm,70.803,54.702,,,,,
210,12/16/20 07:02:25 pm,70.759,54.730,,,,,
211,12/16/20 07:02:26 pm,70.759,54.792,,,,,
212,12/16/20 07:02:27 pm,70.716,54.788,,,,,
213,12/16/20 07:02:28 pm,70.716,54.819,,,,,
214,12/16/20 07:02:29 pm,70.716,54.850,,,,,
215,12/16/20 07:02:30 pm,70.673,54.878,,,,,
216,12/16/20 07:02:31 pm,70.673,54.909,,,,,
217,12/16/20 07:02:32 pm,70.630,54.936,,,,,
218,12/16/20 07:02:33 pm,70.630,54.967,,,,,
219,12/16/20 07:02:34 pm,70.630,54.999,,,,,
220,12/16/20 07:02:35 pm,70.587,55.026,,,,,
221,12/16/20 07:02:36 pm,70.587,55.057,,,,,
222,12/16/20 07:02:37 pm,70.543,55.085,,,,,
223,12/16/20 07:02:38 pm,70.543,55.116,,,,,
224,12/16/20 07:02:39 pm,70.543,55.116,,,,,
225,12/16/20 07:02:40 pm,70.502,55.174,,,,,
226,12/16/20 07:02:41 pm,70.502,55.205,,,,,
227,12/16/20 07:02:42 pm,70.459,55.295,,,,,
228,12/16/20 07:02:43 pm,70.459,55.356,,,,,
229,12/16/20 07:02:44 pm,70.416,55.415,,,,,
230,12/16/20 07:02:45 pm,70.416,55.508,,,,,
231,12/16/20 07:02:46 pm,70.372,55.535,,,,,
232,12/16/20 07:02:47 pm,70.372,55.628,,,,,
233,12/16/20 07:02:48 pm,70.329,55.686,,,,,
234,12/16/20 07:02:49 pm,70.329,55.748,,,,,
235,12/16/20 07:02:50 pm,70.329,55.779,,,,,
236,12/16/20 07:02:51 pm,70.416,55.910,,,,,
237,12/16/20 07:02:52 pm,70.543,56.044,,,,,
238,12/16/20 07:02:53 pm,70.673,56.178,,,,,
239,12/16/20 07:02:54 pm,70.803,56.313,,,,,
240,12/16/20 07:02:55 pm,70.974,56.512,,,,,
241,12/16/20 07:02:56 pm,71.060,56.735,,,,,
242,12/16/20 07:02:57 pm,71.146,56.989,,,,,
243,12/16/20 07:02:58 pm,71.146,57.236,,,,,
244,12/16/20 07:02:59 pm,71.146,57.421,,,,,
245,12/16/20 07:03:00 pm,71.190,57.578,,,,,
246,12/16/20 07:03:01 pm,71.190,57.670,,,,,
247,12/16/20 07:03:02 pm,71.146,57.790,,,,,
248,12/16/20 07:03:03 pm,71.146,57.882,,,,,
249,12/16/20 07:03:04 pm,71.146,57.944,,,,,
250,12/16/20 07:03:05 pm,71.146,57.974,,,,,
251,12/16/20 07:03:06 pm,71.146,58.036,,,,,
252,12/16/20 07:03:07 pm,71.146,58.036,,,,,
253,12/16/20 07:03:08 pm,71.146,58.067,,,,,
254,12/16/20 07:03:09 pm,71.103,58.063,,,,,
255,12/16/20 07:03:10 pm,71.103,58.032,,,,,
256,12/16/20 07:03:11 pm,71.103,58.063,,,,,
257,12/16/20 07:03:12 pm,71.103,58.032,,,,,
258,12/16/20 07:03:13 pm,71.103,58.032,,,,,
259,12/16/20 07:03:14 pm,71.103,58.063,,,,,
260,12/16/20 07:03:15 pm,71.060,58.028,,,,,
261,12/16/20 07:03:16 pm,71.060,57.998,,,,,
262,12/16/20 07:03:17 pm,71.060,57.967,,,,,
263,12/16/20 07:03:18 pm,71.060,57.906,,,,,
264,12/16/20 07:03:19 pm,71.017,57.871,,,,,
265,12/16/20 07:03:20 pm,71.017,57.840,,,,,
266,12/16/20 07:03:21 pm,71.017,57.748,,,,,
267,12/16/20 07:03:22 pm,70.974,57.683,,,,,
268,12/16/20 07:03:23 pm,70.974,57.652,,,,,
269,12/16/20 07:03:24 pm,70.974,57.591,,,,,
270,12/16/20 07:03:25 pm,70.974,57.529,,,,,
271,12/16/20 07:03:26 pm,70.974,57.529,,,,,
272,12/16/20 07:03:27 pm,70.974,57.437,,,,,
273,12/16/20 07:03:28 pm,70.930,57.433,,,,,
