Time,lat,lon,T,rh
2020-12-16 19:17:03,38.24434633333332,21.72662533333334,56.772,69.628
2020-12-16 19:17:04,38.24434499999999,21.72661700000002,56.772,69.59899999999999
2020-12-16 19:17:05,38.24434499999999,21.726607899999987,56.772,69.59899999999999
2020-12-16 19:17:06,38.24434559999999,21.7266012,56.772,69.57
2020-12-16 19:17:07,38.24434699999998,21.726596333333337,56.772,69.57
2020-12-16 19:17:08,38.24434699999998,21.726594999999985,56.772,69.57
2020-12-16 19:17:09,38.24434639999999,21.726594999999985,56.772,69.57
2020-12-16 19:17:10,38.24434566666665,21.726594999999985,56.728,69.53699999999999
2020-12-16 19:17:11,38.24434639999999,21.72659439999999,56.728,69.566
2020-12-16 19:17:12,38.24434499999999,21.72659299999999,56.728,69.595
2020-12-16 19:17:13,38.24434564516128,21.726594290322573,56.728,69.595
2020-12-16 19:17:14,38.24434699999998,21.726597000000005,56.728,69.623
2020-12-16 19:17:15,38.24434699999998,21.726597000000005,56.728,69.623
2020-12-16 19:17:16,38.24434699999998,21.726597000000005,56.728,69.623
2020-12-16 19:17:17,38.24434699999998,21.726597000000005,56.728,69.623
2020-12-16 19:17:18,38.24434699999998,21.726597000000005,56.728,69.623
2020-12-16 19:17:19,38.24434699999998,21.726597000000005,56.728,69.623
2020-12-16 19:17:20,38.24434699999998,21.726597000000005,56.728,69.652
2020-12-16 19:17:21,38.24434699999998,21.726597000000005,56.728,69.652
2020-12-16 19:17:22,38.24434699999998,21.726597000000005,56.685,69.619
2020-12-16 19:17:23,38.24434699999998,21.726597000000005,56.685,69.648
2020-12-16 19:17:24,38.24434699999998,21.726597000000005,56.685,69.619
2020-12-16 19:17:25,38.24434699999998,21.726597000000005,56.685,69.648
2020-12-16 19:17:26,38.24434699999998,21.726597000000005,56.685,69.619
2020-12-16 19:17:27,38.24434699999998,21.726597000000005,56.641999999999996,69.643
2020-12-16 19:17:28,38.24434699999998,21.726597000000005,56.641999999999996,69.61399999999999
2020-12-16 19:17:29,38.24434699999998,21.726597000000005,56.641999999999996,69.61399999999999
2020-12-16 19:17:30,38.24434699999998,21.726597000000005,56.641999999999996,69.61399999999999
2020-12-16 19:17:31,38.24434699999998,21.726597000000005,56.641999999999996,69.61399999999999
2020-12-16 19:17:32,38.24434699999998,21.726597000000005,56.641999999999996,69.61399999999999
2020-12-16 19:17:33,38.24434699999998,21.726597000000005,56.641999999999996,69.61399999999999
2020-12-16 19:17:34,38.24434699999998,21.726597000000005,56.641999999999996,69.61399999999999
2020-12-16 19:17:35,38.24434699999998,21.726597000000005,56.641999999999996,69.643
2020-12-16 19:17:36,38.24434699999998,21.726597000000005,56.641999999999996,69.61399999999999
2020-12-16 19:17:37,38.24434699999998,21.726597000000005,56.599,69.639
2020-12-16 19:17:38,38.24434699999998,21.726597000000005,56.599,69.639
2020-12-16 19:17:39,38.24434699999998,21.726597000000005,56.599,69.639
2020-12-16 19:17:40,38.24434699999998,21.726597000000005,56.599,69.639
2020-12-16 19:17:41,38.24434699999998,21.726597000000005,56.599,69.667
2020-12-16 19:17:42,38.24434699999998,21.726597000000005,56.599,69.639
2020-12-16 19:17:43,38.24434699999998,21.726597000000005,56.599,69.667
2020-12-16 19:17:44,38.24434699999998,21.726597000000005,56.556000000000004,69.663
2020-12-16 19:17:45,38.24434699999998,21.726597000000005,56.556000000000004,69.663
2020-12-16 19:17:46,38.24434699999998,21.726597000000005,56.556000000000004,69.691
2020-12-16 19:17:47,38.24434699999998,21.726597000000005,56.556000000000004,69.663
2020-12-16 19:17:48,38.24434699999998,21.726597000000005,56.556000000000004,69.691
2020-12-16 19:17:49,38.24434699999998,21.726597000000005,56.556000000000004,69.691
2020-12-16 19:17:50,38.24434699999998,21.726597000000005,56.556000000000004,69.691
2020-12-16 19:17:51,38.24434699999998,21.726597000000005,56.556000000000004,69.72
2020-12-16 19:17:52,38.24434699999998,21.726597000000005,56.512,69.71600000000001
2020-12-16 19:17:53,38.24434699999998,21.726597000000005,56.512,69.71600000000001
2020-12-16 19:17:54,38.24434699999998,21.726597000000005,56.512,69.71600000000001
2020-12-16 19:17:55,38.24434699999998,21.726597000000005,56.512,69.71600000000001
2020-12-16 19:17:56,38.24434699999998,21.726597000000005,56.512,69.71600000000001
2020-12-16 19:17:57,38.24434699999998,21.726597000000005,56.512,69.744
2020-12-16 19:17:58,38.24434699999998,21.726597000000005,56.512,69.744
2020-12-16 19:17:59,38.24434699999998,21.726597000000005,56.512,69.744
2020-12-16 19:18:00,38.24434699999998,21.726597000000005,56.512,69.773
2020-12-16 19:18:01,38.24434699999998,21.726597000000005,56.512,69.773
2020-12-16 19:18:02,38.24434699999998,21.726597000000005,56.512,69.80199999999999
2020-12-16 19:18:03,38.24434699999998,21.726597000000005,56.468999999999994,69.797
2020-12-16 19:18:04,38.24434699999998,21.726597000000005,56.468999999999994,69.82600000000001
2020-12-16 19:18:05,38.24434699999998,21.726597000000005,56.468999999999994,69.82600000000001
2020-12-16 19:18:06,38.24434699999998,21.726597000000005,56.468999999999994,69.82600000000001
2020-12-16 19:18:07,38.24434699999998,21.726597000000005,56.468999999999994,69.82600000000001
2020-12-16 19:18:08,38.24434699999998,21.726597000000005,56.468999999999994,69.82600000000001
2020-12-16 19:18:09,38.24434699999999,21.726597,56.468999999999994,69.883
2020-12-16 19:18:10,38.24434699999998,21.726597000000005,56.468999999999994,69.883
2020-12-16 19:18:11,38.24434699999998,21.726597000000005,56.468999999999994,69.883
2020-12-16 19:18:12,38.24434699999998,21.726597000000005,56.468999999999994,69.883
2020-12-16 19:18:13,38.24434699999998,21.726597000000005,56.468999999999994,69.91199999999999
2020-12-16 19:18:14,38.24434699999998,21.726597000000005,56.468999999999994,69.91199999999999
2020-12-16 19:18:15,38.24434699999998,21.726597000000005,56.468999999999994,69.94
2020-12-16 19:18:16,38.24434699999998,21.726597000000005,56.468999999999994,69.94
2020-12-16 19:18:17,38.24434699999998,21.726597000000005,56.468999999999994,69.969
2020-12-16 19:18:18,38.24434699999998,21.726597000000005,56.468999999999994,69.969
2020-12-16 19:18:19,38.24434699999998,21.726597000000005,56.468999999999994,69.998
2020-12-16 19:18:20,38.24434699999998,21.726597000000005,56.468999999999994,70.02600000000001
2020-12-16 19:18:21,38.24434699999998,21.726597000000005,56.468999999999994,70.02600000000001
2020-12-16 19:18:22,38.24434699999998,21.726597000000005,56.468999999999994,70.02600000000001
2020-12-16 19:18:23,38.24434699999998,21.726597000000005,56.468999999999994,70.055
2020-12-16 19:18:24,38.24434699999998,21.726597000000005,56.468999999999994,70.083
2020-12-16 19:18:25,38.24434699999998,21.726597000000005,56.468999999999994,70.055
2020-12-16 19:18:26,38.24434699999998,21.726597000000005,56.468999999999994,70.083
2020-12-16 19:18:27,38.24434699999998,21.726597000000005,56.468999999999994,70.112
2020-12-16 19:18:28,38.24434699999998,21.726597000000005,56.468999999999994,70.112
2020-12-16 19:18:29,38.24434699999998,21.726597000000005,56.468999999999994,70.141
2020-12-16 19:18:30,38.24434699999998,21.726597000000005,56.468999999999994,70.141
